demand_type,weight_multiplier,test_weight,n_stations,gross_welfare,net_welfare,overall_coverage_rate,type_covered,type_total,type_coverage_rate,type_welfare
school,0.25,0,36,2337.781612294127,1437.7816122941272,0.030984318911770264,6,188,0.031914893617021274,0
school,0.5,1,36,2345.781612294127,1445.7816122941272,0.03117324768562252,9,188,0.047872340425531915,9
school,0.75,2,36,2355.702836255251,1455.702836255251,0.03117324768562252,10,188,0.05319148936170213,20
school,1.0,3,36,2369.702836255251,1469.702836255251,0.03117324768562252,12,188,0.06382978723404255,36
school,1.5,4,36,2381.702836255251,1481.702836255251,0.03117324768562252,12,188,0.06382978723404255,48
school,2.0,6,36,2404.2694818933387,1504.2694818933387,0.030039675042508974,13,188,0.06914893617021277,78
school,3.0,9,44,2660.2694818933387,1560.2694818933387,0.0357075382580767,36,188,0.19148936170212766,324
school,4.0,12,50,2960.1340450441176,1710.1340450441176,0.04175325902134895,49,188,0.26063829787234044,588
library,0.25,0,35,2318.8485041616286,1443.8485041616286,0.029095031173247684,6,49,0.12244897959183673,0
library,0.5,1,36,2355.702836255251,1455.702836255251,0.03117324768562252,14,49,0.2857142857142857,14
library,0.75,1,36,2355.702836255251,1455.702836255251,0.03117324768562252,14,49,0.2857142857142857,14
library,1.0,2,36,2369.702836255251,1469.702836255251,0.03117324768562252,14,49,0.2857142857142857,28
library,1.5,3,36,2383.702836255251,1483.702836255251,0.03117324768562252,14,49,0.2857142857142857,42
library,2.0,4,36,2397.702836255251,1497.702836255251,0.03117324768562252,14,49,0.2857142857142857,56
library,3.0,6,38,2478.702836255251,1528.702836255251,0.03211789155488381,16,49,0.32653061224489793,96
library,4.0,8,38,2512.818408059745,1562.8184080597448,0.032495749102588324,16,49,0.32653061224489793,128
university,0.25,5,29,1916.2694818933385,1191.2694818933385,0.021726808993009637,7,28,0.25,35
university,0.5,10,32,2077.702836255251,1277.702836255251,0.02645002833931608,17,28,0.6071428571428571,170
university,0.75,15,35,2242.702836255251,1367.702836255251,0.030228603816361232,20,28,0.7142857142857143,300
university,1.0,20,36,2369.702836255251,1469.702836255251,0.03117324768562252,21,28,0.75,420
university,1.5,30,41,2733.615342482034,1708.615342482034,0.032495749102588324,26,28,0.9285714285714286,780
university,2.0,40,41,2993.615342482034,1968.615342482034,0.032495749102588324,26,28,0.9285714285714286,1040
university,3.0,60,41,3513.6153424820336,2488.6153424820336,0.032495749102588324,26,28,0.9285714285714286,1560
university,4.0,80,41,4033.6153424820336,3008.6153424820336,0.032495749102588324,26,28,0.9285714285714286,2080
shop_cluster,0.25,0,34,2243.613470606333,1393.613470606333,0.028150387303986397,31,453,0.0684326710816777,0
shop_cluster,0.5,1,35,2301.613470606333,1426.613470606333,0.029095031173247684,36,453,0.07947019867549669,36
shop_cluster,0.75,1,35,2301.613470606333,1426.613470606333,0.029095031173247684,36,453,0.07947019867549669,36
shop_cluster,1.0,2,36,2369.702836255251,1469.702836255251,0.03117324768562252,42,453,0.09271523178807947,84
shop_cluster,1.5,3,36,2406.702836255251,1506.702836255251,0.030228603816361232,42,453,0.09271523178807947,126
shop_cluster,2.0,4,36,2448.702836255251,1548.702836255251,0.030228603816361232,42,453,0.09271523178807947,168
shop_cluster,3.0,6,47,2874.814394669026,1699.8143946690261,0.0442093330814283,93,453,0.2052980132450331,558
shop_cluster,4.0,8,50,3157.429873621621,1907.429873621621,0.04685433591535991,105,453,0.23178807947019867,840
simd_area,0.25,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
simd_area,0.5,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
simd_area,0.75,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
simd_area,1.0,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
simd_area,1.5,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
simd_area,2.0,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
simd_area,3.0,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
simd_area,4.0,0,36,2369.702836255251,1469.702836255251,0.03117324768562252,0,66,0.0,0
