shop_name,lat,lon
The Football Programme Shop,55.96181412185605,-3.170703342351303
Smokey Jim's,55.9618614702867,-3.1704484695239747
Good Old Days Vintage,55.96187121370675,-3.1703686691022086
Day-Today Express,55.961977280679214,-3.1677127244032346
Albion Road Garage,55.961785604862236,-3.168027328769096
Albion Road Garage,55.961741297735486,-3.167961918496502
Scorpio Leisure,55.96168770413203,-3.1679282662983397
Lifestyle Stop & Shop,55.96114612257413,-3.167239170089075
vacant,55.96111125294809,-3.167125990142224
vacant,55.96109389393418,-3.1670613932343987
Greenshoots,55.93651300081876,-3.241177882415975
Davidson & Robertson,55.92559397891097,-3.2448938152588824
Edinburgh Larder,55.950627776050894,-3.2097128443991565
vacant,55.95036303136611,-3.2101369719275943
Claire's Beauty and Health,55.949823453333195,-3.211096992978225
Bri Boutique,55.94999192192703,-3.211326450648242
Edinburgh Bicycle Co-operative,55.93783426082228,-3.2031024659991996
Prom Bar,55.97962311528357,-3.187620262434847
vacant,55.97963148051898,-3.1876846240301906
Newhaven Express,55.979639691322205,-3.1877650072165604
vacant,55.97964790207285,-3.1878453904362836
The Haven,55.97965611277095,-3.1879257736893623
The Diggers,55.93897829067211,-3.223790264982589
AEIS,55.93894188278608,-3.2238371454279187
n/a,55.938896333148854,-3.223899746993818
Sofa and Stuff,55.938823358243965,-3.2240095118940677
Caledonian Sample Room,55.93767323423891,-3.2258142737746756
Angle Park Convienence store,55.937544290572724,-3.226130380433748
Red Lemon,55.93751686451512,-3.226177540796575
vacant,55.93749842114876,-3.226224984941631
Irvine Upholsterers,55.93753094417535,-3.2256656980979024
Scotmid Funeral Directors,55.93766918777517,-3.225317865602548
Entreprise,55.96008165792528,-3.1836898377876945
Open Spice,55.9796940756019,-3.188648122105646
The Annfield,55.97974178997859,-3.1892906396537057
Pomegranate,55.95771122660741,-3.1853793705891618
Deep Sea Fish & Chips,55.95775660282126,-3.1853327060064376
Mama Roma,55.95783821834847,-3.1852551145124917
L. Freedman,55.95800160327088,-3.1850839179095667
Ada,55.95801972291211,-3.1850684543424106
Kushis,55.95809220145777,-3.185006599930205
Caf‚ Marlayne,55.95821005602316,-3.1848980796565733
Powerhouse,55.958255432056276,-3.1848514139161717
Bank of Scotland / HBOS,55.939054182103,-3.2260980428287063
Natisse Hairdressing,55.93897317843094,-3.226111492858784
Springwell Pharmacy,55.93888319204918,-3.226124658994576
Auld Reekie,55.93748848248826,-3.226320724708298
Activity Awards,55.937452551652854,-3.2263195892256458
Argyle Bar/The Hide,55.93852070617531,-3.191645057378451
Nadia's Fruit Market,55.93834120455718,-3.1916235357627967
Cheryl Irvine,55.93840392948625,-3.191641471240698
vacant,55.9384579812482,-3.1916271218381453
Bodywell,55.93855663746378,-3.191646160810788
The New Leaf,55.93859256875201,-3.1916472642456326
vacant,55.9386913797935,-3.191650298704407
Bicycle Works,55.93879019083329,-3.191653333182167
Helen Lucas / The Roberts Partnership/ David Narro etc.,55.939032572180956,-3.1916767863027924
Burgess Adams,55.93925714270881,-3.191683683112244
Meadowlark Cafe,55.939302056813304,-3.1916850624859037
Meadowlark,55.939382902200556,-3.191687545368378
Tang & Co,55.93943679912472,-3.1916892006304214
Meadowlark,55.93949952403053,-3.191707136745504
n/a,55.93240873303538,-3.2284171904255192
Dian Ward Hairdressing,55.93248830059307,-3.2285477640420743
Klaklack Design & Photography,55.93251476987495,-3.2285966226571694
M.A's Newsagents,55.9332924717141,-3.2299018208636787
James Aird,55.933318780650495,-3.2299666836091747
SHS Burbridge Architects,55.93334524935693,-3.23001554423703
n/a,55.933389683448084,-3.230064974318297
Craigflower Lettings,55.93341615211452,-3.2301138351025487
Colbalt Hair,55.933606706516606,-3.2299277861937816
Revive Beauty,55.93358023777768,-3.2298789252935847
