name,geometry,lat,lon,category
Roseburn Primary School,POINT (-3.236779123887089 55.943571160126425),55.94357116,-3.236779124,school
Ferryhill Primary School,POINT (-3.250866473037282 55.96316576508113),55.96316577,-3.250866473,school
Blackhall Primary School,POINT (-3.2620300792098345 55.95535291267435),55.95535291,-3.262030079,school
Oaklands School,POINT (-3.2521348017082348 55.96727536455),55.96727536,-3.252134802,school
Craigroyston Primary School,POINT (-3.2544580216707026 55.96826410402757),55.9682641,-3.254458022,school
Braidburn School,POINT (-3.2357721376411797 55.91395515587729),55.91395516,-3.235772138,school
Oxgangs Primary School,POINT (-3.235925870051802 55.912236418778114),55.91223642,-3.23592587,school
Pilrig Park School,POINT (-3.1802751500351985 55.96725871677938),55.96725872,-3.18027515,school
Campie Primary School,POINT (-3.0637192123758386 55.941444847253436),55.94144485,-3.063719212,school
St Augustine's RC High School,POINT (-3.2921283362314573 55.93241252298582),55.93241252,-3.292128336,school
Forrester High School,POINT (-3.2897946397610833 55.93095540429922),55.9309554,-3.28979464,school
,POINT (-3.27405784357149 55.928532021437704),55.92853202,-3.274057844,school
Edinburgh Academy Junior School,POINT (-3.213029220123734 55.96879770382717),55.9687977,-3.21302922,school
Corstorphine Primary School,POINT (-3.2855790930924815 55.94080546915705),55.94080547,-3.285579093,school
St John Vianney RC Primary School,POINT (-3.1568121922511536 55.91838857312305),55.91838857,-3.156812192,school
Darroch Annexe,POINT (-3.2071840486122505 55.9405612135022),55.94056121,-3.207184049,school
Cargilfield School,POINT (-3.301005960134036 55.96982801993133),55.96982802,-3.30100596,school
Forthview Primary School,POINT (-3.2408528571680635 55.97028183231325),55.97028183,-3.240852857,school
St. George's (Lower School),POINT (-3.235913672990984 55.94801209731374),55.9480121,-3.235913673,school
Juniper Green Primary School,POINT (-3.2848946810798707 55.906534664317185),55.90653466,-3.284894681,school
Clovenstone Primary School,POINT (-3.27378274880983 55.91154247093956),55.91154247,-3.273782749,school
St Margaret's RC Primary School,POINT (-3.1483121084363157 55.88124597992785),55.88124598,-3.148312108,school
Boroughmuir High School,POINT (-3.214785279865427 55.94082885862948),55.94082886,-3.21478528,school
Kaimes School,POINT (-3.1518407463311067 55.90503041482211),55.90503041,-3.151840746,school
Stenhouse Primary School,POINT (-3.262897332878763 55.93061096328716),55.93061096,-3.262897333,school
Musselburgh Grammar School,POINT (-3.050284656806648 55.93865417920183),55.93865418,-3.050284657,school
Bonaly Primary School,POINT (-3.258609392941507 55.8993272725987),55.89932727,-3.258609393,school
Maybury Primary School,POINT (-3.3234017878700426 55.943975469923856),55.94397547,-3.323401788,school
Dalkeith Campus,POINT (-3.044503808385919 55.90131381762847),55.90131382,-3.044503808,school
Woodburn Primary School,POINT (-3.0491399936560684 55.89939313862046),55.89939314,-3.049139994,school
St David's RC Primary School,POINT (-3.0535859328031094 55.88813581092767),55.88813581,-3.053585933,school
Burnbrae Primary School,POINT (-3.106628823624301 55.865755774961805),55.86575577,-3.106628824,school
ESMS Junior School,POINT (-3.2288335050178523 55.953738867183965),55.95373887,-3.228833505,school
St Mary's Music School,POINT (-3.2205193830877534 55.94695708394758),55.94695708,-3.220519383,school
Gylemuir Primary School,POINT (-3.295665977058386 55.938074971428286),55.93807497,-3.295665977,school
Rudolf Steiner School,POINT (-3.223600040029058 55.931524174885226),55.93152417,-3.22360004,school
St Cuthbert's RC Primary School,POINT (-3.241254212772502 55.930403942321355),55.93040394,-3.241254213,school
Craiglockhart Primary School,POINT (-3.227789451957854 55.931735924319675),55.93173592,-3.227789452,school
Clermiston Primary School,POINT (-3.2909653442215934 55.96002178489619),55.96002178,-3.290965344,school
Newtongrange Primary School,POINT (-3.0630705300830128 55.86716074028905),55.86716074,-3.06307053,school
Lasswade High School,POINT (-3.1149811728968397 55.872153919099006),55.87215392,-3.114981173,school
Bonnyrigg Primary School,POINT (-3.097989643205304 55.871101576818674),55.87110158,-3.097989643,school
Bun-sgoil Taobh na Pàirce,POINT (-3.1795001907999714 55.97032964621976),55.97032965,-3.179500191,school
Trinity Primary School,POINT (-3.1933215415081544 55.97646782409095),55.97646782,-3.193321542,school
Longstone Primary School,POINT (-3.2611415731771225 55.92059846219229),55.92059846,-3.261141573,school
Redhall School,POINT (-3.262913481401979 55.92074029661964),55.9207403,-3.262913481,school
Musselburgh Burgh Primary School,POINT (-3.050314764753568 55.94140070112778),55.9414007,-3.050314765,school
Loretto RC Primary School,POINT (-3.0467706487897748 55.9416540466006),55.94165405,-3.046770649,school
Loretto Junior School,POINT (-3.05261732820782 55.94459248385694),55.94459248,-3.052617328,school
Pentland Primary School,POINT (-3.22005418296407 55.907092165506235),55.90709217,-3.220054183,school
Newcraighall Primary School,POINT (-3.088027460052622 55.93504984476528),55.93504984,-3.08802746,school
Harmeny School,POINT (-3.3338884392791104 55.87782571935968),55.87782572,-3.333888439,school
Hawthornden Primary School,POINT (-3.120422225666995 55.87039668365572),55.87039668,-3.120422226,school
Carrick Knowe Primary School,POINT (-3.273254727406714 55.938349024301914),55.93834902,-3.273254727,school
Lasswade Primary School,POINT (-3.0998661387543094 55.88018627467752),55.88018627,-3.099866139,school
Hopefield Joint Campus,POINT (-3.1131292311342365 55.86933026874865),55.86933027,-3.113129231,school
King's Park Primary School,POINT (-3.070645343228542 55.891313631446145),55.89131363,-3.070645343,school
Loanhead Primary School,POINT (-3.1492299136467685 55.88103159232787),55.88103159,-3.149229914,school
Granton Primary School,POINT (-3.226294075527965 55.97633448626815),55.97633449,-3.226294076,school
Woodlands School,POINT (-3.3177540844810838 55.896248254366085),55.89624825,-3.317754084,school
Holy Cross RC Primary School,POINT (-3.1966827705429393 55.973271871636584),55.97327187,-3.196682771,school
Paradykes Primary School,POINT (-3.153350777447105 55.88019181634316),55.88019182,-3.153350777,school
St Thomas of Aquin's High School,POINT (-3.197998069967546 55.94346695313341),55.94346695,-3.19799807,school
St Catherine's RC Primary School,POINT (-3.156031072975627 55.90379681298387),55.90379681,-3.156031073,school
Gracemount Primary School,POINT (-3.1551021416058718 55.9047258569929),55.90472586,-3.155102142,school
Newbattle Community Campus,POINT (-3.049227276853145 55.87404306113188),55.87404306,-3.049227277,school
Newbattle High School,POINT (-3.04781151466509 55.87466871240468),55.87466871,-3.047811515,school
Balgreen Nursery School,POINT (-3.2478420519920324 55.93692238277929),55.93692238,-3.247842052,school
St John's RC Primary School,POINT (-3.124384332063972 55.94835437831063),55.94835438,-3.124384332,school
Victoria Primary School,POINT (-3.1925480740260013 55.98347333034128),55.98347333,-3.192548074,school
Canaan Lane Primary School,POINT (-3.2053068974608134 55.92844901366944),55.92844901,-3.205306897,school
Craigmillar Early Years Centre,POINT (-3.1453354710411583 55.93061089047981),55.93061089,-3.145335471,school
St Leonard's Nursery School,POINT (-3.182772520124984 55.94685480021213),55.9468548,-3.18277252,school
Basil Paterson School,POINT (-3.2052937411535223 55.95349296896405),55.95349297,-3.205293741,school
,POINT (-3.2217247781928844 55.95434748277411),55.95434748,-3.221724778,school
Easthouses Primary School,POINT (-3.0546380289250896 55.87627535490515),55.87627535,-3.054638029,school
Greengables Nursery School,POINT (-3.1219223566247156 55.92793855546331),55.92793856,-3.121922357,school
RNIB Employment & Learning Centre,POINT (-3.097459897516912 55.944047678420674),55.94404768,-3.097459898,school
Communications & Marketing,POINT (-3.1922264 55.9460305),55.9460305,-3.1922264,university
Lecture Theatre 1 (LT1),POINT (-3.3226547 55.9107026),55.9107026,-3.3226547,university
Lecture Theatre 2 (LT2),POINT (-3.3225449 55.9106208),55.9106208,-3.3225449,university
Lecture Theatre 3 (LT3),POINT (-3.3224258 55.9105456),55.9105456,-3.3224258,university
Lecture Theatre 4 (LT4),POINT (-3.3212805 55.9102825),55.9102825,-3.3212805,university
University of Edinburgh - Easter Bush Campus,POINT (-3.199993152608295 55.86443942578601),55.86443943,-3.199993153,university
University of Edinburgh Bioquarter,POINT (-3.1304597946885817 55.92003105171874),55.92003105,-3.130459795,university
Heriot-Watt University,POINT (-3.32290789027479 55.91089126958331),55.91089127,-3.32290789,university
University of Edinburgh - King's Buildings Campus,POINT (-3.1746658057199846 55.92275610373322),55.9227561,-3.174665806,university
University of Edinburgh,POINT (-3.1880773795571002 55.94382142872845),55.94382143,-3.18807738,university
University of Edinburgh - High School Yards,POINT (-3.1836487147191055 55.94842786388321),55.94842786,-3.183648715,university
Edinburgh Napier University - Craiglockhart Campus,POINT (-3.239711183275301 55.91840635149083),55.91840635,-3.239711183,university
University of Edinburgh - Lauriston Campus,POINT (-3.1986435007418788 55.94572216573812),55.94572217,-3.198643501,university
Queen Margaret University,POINT (-3.0739691670053215 55.9309245867735),55.93092459,-3.073969167,university
,POINT (-3.187007465639212 55.94683192788712),55.94683193,-3.187007466,university
University of Edinburgh - Pleasance,POINT (-3.181016304012657 55.947977121309606),55.94797712,-3.181016304,university
University of Edinburgh - Holyrood Campus,POINT (-3.1806671683750842 55.949872606384),55.94987261,-3.180667168,university
