lat,lon,type,name
55.967826,-3.268873,bus,
55.966546,-3.266668,bus,
55.966222,-3.264895,bus,
55.965991,-3.260241,bus,
55.96643,-3.255129,bus,
55.966933,-3.251669,bus,
55.97892,-3.278691,bus,
55.972565,-3.272889,bus,
55.972283,-3.271454,bus,
55.972351,-3.270928,bus,
55.972429,-3.270401,bus,
55.97296,-3.266829,bus,
55.97342,-3.264024,bus,
55.974263,-3.258924,bus,
55.974802,-3.255416,bus,
55.973317,-3.252996,bus,
55.97233,-3.260784,bus,
55.972239,-3.257336,bus,
55.972583,-3.25355,bus,
55.972154,-3.252494,bus,
55.97015,-3.250763,bus,
55.967618,-3.248727,bus,
55.964952,-3.249394,bus,
55.96245,-3.247952,bus,
55.964496,-3.26761,bus,
55.963074,-3.264392,bus,
55.96165,-3.263,bus,
55.960193,-3.256112,bus,
55.959115,-3.253467,bus,
55.958063,-3.250854,bus,
55.957083,-3.248307,bus,
55.946271,-3.250297,bus,
55.946765,-3.247639,bus,
55.948288,-3.248104,bus,
55.950501,-3.249601,bus,
55.950674,-3.24674,bus,
55.951616,-3.24416,bus,
55.956059,-3.244719,bus,
55.957133,-3.241534,bus,
55.956457,-3.243514,bus,
55.955717,-3.240319,bus,
55.954714,-3.23276,bus,
55.954777,-3.229158,bus,
55.954925,-3.226055,bus,
55.956575,-3.23804,bus,
55.957198,-3.234168,bus,
55.95819,-3.228369,bus,
55.960771,-3.255875,bus,
55.960747,-3.249306,bus,
55.961215,-3.244804,bus,
55.96239,-3.240565,bus,
55.964027,-3.238631,bus,
55.966983,-3.23778,bus,
55.967427,-3.247167,bus,
55.967856,-3.242951,bus,
55.968364,-3.238032,bus,
55.978358,-3.242294,bus,
55.979124,-3.241229,bus,
55.980909,-3.236093,bus,
55.981912,-3.230147,bus,
55.983805,-3.2287,bus,
55.983032,-3.22507,bus,
55.975565,-3.252781,bus,
55.976469,-3.249637,bus,
55.976613,-3.245171,bus,
55.976713,-3.243299,bus,
55.976665,-3.239131,bus,
55.974623,-3.238473,bus,
55.97283,-3.238015,bus,
55.971138,-3.2374,bus,
55.96943,-3.23656,bus,
55.967716,-3.235448,bus,
55.965433,-3.233741,bus,
55.964024,-3.232671,bus,
55.962952,-3.233855,bus,
55.961568,-3.230222,bus,
55.960185,-3.2284,bus,
55.958004,-3.225416,bus,
55.956425,-3.223396,bus,
55.955253,-3.219259,bus,
55.95451,-3.215344,bus,
55.955821,-3.21633,bus,
55.957447,-3.213642,bus,
55.957714,-3.211119,bus,
55.958792,-3.224848,bus,
55.959257,-3.221451,bus,
55.95947,-3.21622,bus,
55.959197,-3.212944,bus,
55.958716,-3.209773,bus,
55.958218,-3.208364,bus,
55.960093,-3.204915,bus,
55.960565,-3.201726,bus,
55.977614,-3.237623,bus,
55.978072,-3.235858,bus,
55.978414,-3.23401,bus,
55.979903,-3.230756,bus,
55.980752,-3.224821,bus,
55.980725,-3.223923,bus,
55.980301,-3.223204,bus,
55.975085,-3.238103,bus,
55.975444,-3.234573,bus,
55.977104,-3.221228,bus,
55.975652,-3.231679,bus,
55.97665,-3.230733,bus,
55.978694,-3.229436,bus,
55.979087,-3.225121,bus,
55.978183,-3.222961,bus,
55.975808,-3.22686,bus,
55.976035,-3.223935,bus,
55.977814,-3.218494,bus,
55.976914,-3.21587,bus,
55.974675,-3.215207,bus,
55.972264,-3.214522,bus,
55.968704,-3.23463,bus,
55.969171,-3.230111,bus,
55.969818,-3.223835,bus,
55.970256,-3.219507,bus,
55.970977,-3.21288,bus,
55.97011,-3.207838,bus,
55.968954,-3.206664,bus,
55.96785,-3.205652,bus,
55.966141,-3.203981,bus,
55.964842,-3.202627,bus,
55.962592,-3.19844,bus,
55.962306,-3.200114,bus,
55.960171,-3.200688,bus,
55.959035,-3.200092,bus,
55.957435,-3.199226,bus,
55.957647,-3.207898,bus,
55.957147,-3.205752,bus,
55.957084,-3.203924,bus,
