demand_type,weight_multiplier,test_weight,n_stations,gross_welfare,net_welfare,overall_coverage_rate,type_covered,type_total,type_coverage_rate,type_welfare
hospital,1.5,75,49,3183.043791371759,1958.0437913717592,0.041375401473644435,14,16,0.875,1050
hospital,2.0,100,49,3533.043791371759,2308.043791371759,0.041375401473644435,14,16,0.875,1400
hospital,3.0,150,49,4233.04379137176,3008.0437913717597,0.041375401473644435,14,16,0.875,2100
hospital,4.0,200,49,4933.04379137176,3708.0437913717597,0.041375401473644435,14,16,0.875,2800
school,0.25,0,49,2788.1225674106354,1563.1225674106354,0.04099754392593992,11,188,0.05851063829787234,0
school,0.5,1,49,2801.1225674106354,1576.1225674106354,0.041375401473644435,13,188,0.06914893617021277,13
school,0.75,2,49,2817.043791371759,1592.0437913717592,0.041375401473644435,16,188,0.0851063829787234,32
school,1.0,3,49,2833.043791371759,1608.0437913717592,0.041375401473644435,16,188,0.0851063829787234,48
school,1.5,4,50,2876.043791371759,1626.0437913717592,0.04213111656905347,19,188,0.10106382978723404,76
school,2.0,6,50,2903.610437009847,1653.610437009847,0.04005290005667863,20,188,0.10638297872340426,120
school,3.0,9,50,2985.610437009847,1735.610437009847,0.04080861515208766,24,188,0.1276595744680851,216
school,4.0,12,50,3114.610437009847,1864.610437009847,0.04024182883053089,42,188,0.22340425531914893,504
library,0.25,0,48,2776.189459278137,1576.1894592781368,0.03948611373512186,9,49,0.1836734693877551,0
library,0.5,1,49,2817.043791371759,1592.0437913717592,0.041375401473644435,16,49,0.32653061224489793,16
library,0.75,1,49,2817.043791371759,1592.0437913717592,0.041375401473644435,16,49,0.32653061224489793,16
library,1.0,2,49,2833.043791371759,1608.0437913717592,0.041375401473644435,16,49,0.32653061224489793,32
library,1.5,3,49,2849.043791371759,1624.0437913717592,0.041375401473644435,16,49,0.32653061224489793,48
library,2.0,4,50,2886.610437009847,1636.610437009847,0.04099754392593992,16,49,0.32653061224489793,64
library,3.0,6,50,2918.610437009847,1668.610437009847,0.04099754392593992,16,49,0.32653061224489793,96
library,4.0,8,50,2952.7260088143407,1702.7260088143407,0.041375401473644435,16,49,0.32653061224489793,128
university,0.25,5,43,2420.610437009847,1345.610437009847,0.0330625354241451,10,28,0.35714285714285715,50
university,0.5,10,46,2565.043791371759,1415.0437913717592,0.03721896844889477,17,28,0.6071428571428571,170
university,0.75,15,48,2711.043791371759,1511.0437913717592,0.040430757604383145,19,28,0.6785714285714286,285
university,1.0,20,49,2833.043791371759,1608.0437913717592,0.041375401473644435,20,28,0.7142857142857143,400
university,1.5,30,50,3071.956297598542,1821.9562975985418,0.04024182883053089,25,28,0.8928571428571429,750
university,2.0,40,50,3330.956297598542,2080.956297598542,0.03986397128282637,26,28,0.9285714285714286,1040
university,3.0,60,50,3850.956297598542,2600.956297598542,0.03986397128282637,26,28,0.9285714285714286,1560
university,4.0,80,50,4370.956297598542,3120.956297598542,0.03986397128282637,26,28,0.9285714285714286,2080
shop_cluster,0.25,0,47,2685.9544257228413,1510.9544257228413,0.03703003967504251,38,453,0.08388520971302428,0
shop_cluster,0.5,1,49,2772.9544257228413,1547.9544257228413,0.039297184961269604,47,453,0.10375275938189846,47
shop_cluster,0.75,1,49,2772.9544257228413,1547.9544257228413,0.039297184961269604,47,453,0.10375275938189846,47
shop_cluster,1.0,2,49,2833.043791371759,1608.0437913717592,0.041375401473644435,54,453,0.11920529801324503,108
shop_cluster,1.5,3,49,2882.043791371759,1657.0437913717592,0.040430757604383145,54,453,0.11920529801324503,162
shop_cluster,2.0,4,50,2964.043791371759,1714.0437913717592,0.041375401473644435,57,453,0.12582781456953643,228
shop_cluster,3.0,6,50,3094.043791371759,1844.0437913717592,0.0428868316644625,66,453,0.1456953642384106,396
shop_cluster,4.0,8,50,3263.3678659186353,2013.3678659186353,0.04515397695068959,94,453,0.20750551876379691,752
simd_area,0.25,3,36,2371.702836255251,1471.702836255251,0.030984318911770264,2,66,0.030303030303030304,6
simd_area,0.5,7,36,2379.702836255251,1479.702836255251,0.030984318911770264,2,66,0.030303030303030304,14
simd_area,0.75,11,40,2502.702836255251,1502.702836255251,0.03495182316266767,10,66,0.15151515151515152,110
simd_area,1.0,15,49,2833.043791371759,1608.0437913717592,0.041375401473644435,29,66,0.4393939393939394,435
simd_area,1.5,22,50,3070.043791371759,1820.0437913717592,0.04213111656905347,31,66,0.4696969696969697,682
simd_area,2.0,30,50,3321.043791371759,2071.043791371759,0.0406196863782354,33,66,0.5,990
simd_area,3.0,45,50,3836.610437009847,2586.610437009847,0.039675042508974113,37,66,0.5606060606060606,1665
simd_area,4.0,60,50,4519.035303703543,3269.035303703543,0.03684111090119025,53,66,0.803030303030303,3180
